name,type,category,division,description,url,source,retrieved_at
Teamcenter,Software,PLM / Collaboration,Digital Industries Software,"Integrated product lifecycle management (PLM) suite: product data, BOM, change & configuration management, and cross-discipline collaboration.",https://plm.sw.siemens.com/en-US/teamcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Teamcenter X,Software,PLM (SaaS),Digital Industries Software,Cloud/SaaS edition of Teamcenter PLM — fast to deploy with low IT overhead.,https://plm.sw.siemens.com/en-US/teamcenter/teamcenter-x/,software_catalogue,2026-06-25T15:24:44+00:00
Polarion,Software,ALM (App Lifecycle Mgmt),Digital Industries Software,"Browser-based application lifecycle management for requirements, testing and release with end-to-end traceability.",https://plm.sw.siemens.com/en-US/polarion/,software_catalogue,2026-06-25T15:24:44+00:00
NX,Software,CAD / CAM / CAE,Digital Industries Software,"Flagship integrated CAD/CAM/CAE suite for product design, engineering and manufacturing.",https://plm.sw.siemens.com/en-US/nx/,software_catalogue,2026-06-25T15:24:44+00:00
NX X,Software,CAD (SaaS),Digital Industries Software,Cloud-connected SaaS version of NX.,https://plm.sw.siemens.com/en-US/nx/,software_catalogue,2026-06-25T15:24:44+00:00
Solid Edge,Software,CAD (mid-market),Digital Industries Software,"Affordable 2D/3D CAD with design, simulation, manufacturing and data management for SMBs.",https://www.sw.siemens.com/en-US/solid-edge/,software_catalogue,2026-06-25T15:24:44+00:00
Zel X,Software,CAD/CAM (SaaS),Digital Industries Software,Browser-based CAD/CAM/collaboration SaaS aimed at job shops and small manufacturers.,https://www.sw.siemens.com/en-US/zel-x/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter 3D,Software,Simulation / CAE,Digital Industries Software,"Unified multi-discipline 3D simulation: structural, thermal, motion, acoustics, durability.",https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter STAR-CCM+,Software,CFD / Multiphysics,Digital Industries Software,"Multiphysics CFD for fluid flow, heat transfer, particulate flow, stress and electromagnetics.",https://plm.sw.siemens.com/en-US/simcenter/fluids-thermal-simulation/star-ccm/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Amesim,Software,System simulation (1D),Digital Industries Software,1D multi-domain system simulation of mechatronic / fluid / thermal systems.,https://plm.sw.siemens.com/en-US/simcenter/systems-simulation/amesim/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Femap,Software,FEA pre/post-processor,Digital Industries Software,Standalone finite-element modeling pre/post-processor (often paired with Nastran).,https://plm.sw.siemens.com/en-US/simcenter/mechanical-simulation/femap/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Flomaster,Software,Thermo-fluid systems,Digital Industries Software,1D system-level thermo-fluid simulation of piping and fluid networks.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter FLOEFD,Software,CFD (CAD-embedded),Digital Industries Software,CAD-embedded CFD for early-stage concurrent flow/thermal analysis.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Testlab / SCADAS,Software,Physical test,Digital Industries Software,"Hardware + software for noise, vibration, harshness (NVH) and durability testing.",https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Simcenter Culgi,Software,Computational chemistry,Digital Industries Software,Molecular modeling and multiscale materials/chemistry simulation.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Tecnomatix,Software,Digital manufacturing,Digital Industries Software,"Digital manufacturing & factory planning suite (Plant Simulation, Process Simulate, robotics, human simulation).",https://plm.sw.siemens.com/en-US/tecnomatix/,software_catalogue,2026-06-25T15:24:44+00:00
Tecnomatix Plant Simulation,Software,Production simulation,Digital Industries Software,Discrete-event simulation and optimization of production systems and logistics.,https://plm.sw.siemens.com/en-US/tecnomatix/,software_catalogue,2026-06-25T15:24:44+00:00
Process Simulate,Software,Robotics/assembly sim,Digital Industries Software,Virtual commissioning and simulation of robotic and assembly manufacturing processes.,https://plm.sw.siemens.com/en-US/tecnomatix/,software_catalogue,2026-06-25T15:24:44+00:00
Opcenter,Software,MOM / MES,Digital Industries Software,"Manufacturing Operations Management suite: MES, APS scheduling, quality and R&D.",https://plm.sw.siemens.com/en-US/opcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Opcenter X,Software,MOM (SaaS),Digital Industries Software,"Cloud manufacturing operations management: MES, scheduling, quality and analytics.",https://plm.sw.siemens.com/en-US/opcenter/,software_catalogue,2026-06-25T15:24:44+00:00
Fibersim,Software,Composites engineering,Digital Industries Software,Engineering software for designing/manufacturing advanced composite structures.,https://plm.sw.siemens.com/en-US/simcenter/,software_catalogue,2026-06-25T15:24:44+00:00
COMOS,Software,Plant engineering,Digital Industries Software,Integrated plant engineering and operations management for process industries.,https://www.siemens.com/global/en/products/automation/industry-software/plant-engineering-software-comos.html,software_catalogue,2026-06-25T15:24:44+00:00
XHQ Operations Intelligence,Software,Operations intelligence,Digital Industries Software,Aggregates and visualizes real-time operations and business data across plants/assets.,https://www.siemens.com/global/en/products/automation/industry-software.html,software_catalogue,2026-06-25T15:24:44+00:00
gPROMS,Software,Process modeling,Digital Industries Software,Advanced process modeling and digital twins for process-industry design and operations.,https://www.siemens.com/global/en/products/automation/industry-software.html,software_catalogue,2026-06-25T15:24:44+00:00
